Тест-кейсы stroyseven;;;;;;;;;;;
ID;Название (Title):;Описание( Summary):;;Приоритет (Priority);Предусловия (Preconditions);Шаги (Steps to reproduce):;;Ожидаемый результат (Expected result):	;;Фактический результат;Фиксация бага
;;;;;;2. Оставить пустое поле ввода номера телефона и нажать на кнопку «Продолжить»;;2. Появляется надпись «Заполните поле»;;2. Не происходит никаких изменений;Баг-репорт 6
13;Ввод граничных значений в поле ввода «пароль» при регистрации;Система должна правильно реагировать на ввод граничных значений в поле «пароль»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести в поле ввода пароля 3 любых символа (Буквы на кирилице/латинице, цифры, спец символы) и нажать на кнопку «Продолжить»;;2. Появляется надпись «Пароль должен быть от 4 до 20 символов!»;;;
;;;;;;3. Ввести в поле ввода пароля 4 любых символа (Буквы на кирилице/латинице, цифры, спец символы) и нажать на кнопку «Продолжить»;;3. Поле заполняется данными;;;
;;;;;;4. Ввести в поле ввода пароля 20 любых символа (Буквы на кирилице/латинице, цифры, спец символы) и нажать на кнопку «Продолжить»;;4. Поле заполняется данными;;;
;;;;;;5. Ввести в поле ввода пароля 21 любых символа (Буквы на кирилице/латинице, цифры, спец символы) и нажать на кнопку «Продолжить»;;5. Появляется надпись «Пароль должен быть от 4 до 20 символов!»;;;
14;Отсутсвие значений в поле ввода «пароль» при регистрации;Система должна правильно реагировать на отсутствие значений в поле «пароль»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Оставить пустое поле ввода «пароль» и нажать на кнопку «Продолжить»;;2. Появляется надпись «Пароль должен быть от 4 до 20 символов!»;;;
15;Ввод валидных значений в поле ввода «пароль» при регистрации;Система должна правильно реагировать на ввод валидных значений в поле «пароль»;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести 5ти значный пароль, содержащий кириллицу, латиницу, цифры, спец символы ( например кs4@ш ) и нажать на кнопку «Продолжить»;;2. Поле заполняется данными;;;
16;Ввод действительного пароля в поле ввода «подтвердите пароль» при регистрации;Система должна правильно реагировать на ввод действительного пароля в поле «подтвердите пароль»;;Средний;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести валидный пароль в поле  «пароль»;;2. Поле заполняется данными;;;
;;;;;;3. Ввести в поле «подтвердите пароль» пароль, который введен в поле «пароль» и нажать на кнопку «Продолжить»;;3. Поле заполняется данными;;;
17;Ввод недействительного пароля я в поле ввода «подтвердите пароль» при регистрации;Система должна правильно реагировать на ввод недействительного пароля в поле «подтвердите пароль»;;Средний;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести валидный пароль в поле  «пароль»;;2. Поле заполняется данными;;;
;;;;;;3. Ввести в поле «подтвердите пароль» пароль, который не был введен в поле «пароль» и нажать на кнопку «Продолжить»;;3. Появляется надпись «Подтверждение пароля не соответствует паролю!»;;;
18;Отсутсвие значений в поле ввода «подтвердите пароль» при регистрации;Система должна правильно реагировать на отсутствие значений в поле «подтвердите пароль»;;Средний;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Оставить пустое поле ввода «подтвердите пароль» и нажать на кнопку «Продолжить»;;2. Появляется надпись «Подтверждение пароля не соответствует паролю!»;;;
19;Ввод валидных значений в поле ввода «ИНН» при регистрации как юридическое лицо при регистрации;Система должна правильно реагировать на ввод валидных значений в поле «ИНН»;;Высокий;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Нажать на радио-кнопку «Юридическое лицо»;;2. Появляются поля для регистрации пользователя как юридическое лицо;;;
;;;;;;3. Ввести валидные значения в поле ввода (Например 7743013901) и нажать на кнопку «Продолжить»;;3. Поле заполняется данными;;;
20;Ввод невалидных значений в поле ввода «ИНН» при регистрации как юридическое лицо;Система должна правильно реагировать на ввод невалидных значений в поле «ИНН»;;Средний;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Нажать на радио-кнопку «Юридическое лицо»;;2. Появляются поля для регистрации пользователя как юридическое лицо;;;
;;;;;;3. Ввести невалидные значения в поле ввода (Например 7743013902) и нажать на кнопку «Продолжить»;;3. Появляется надпись «ИНН указан неверно!»;;;
21;Отсутсвие значений в поле ввода «ИНН» при регистрации как юридическое лицо;Система должна правильно реагировать на отсутствие значений в поле «ИНН»;;Средний;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Нажать на радио-кнопку «Юридическое лицо»;;2. Появляются поля для регистрации пользователя как юридическое лицо;;;
;;;;;;3. Оставить пустое поле ввода «ИНН» и нажать на кнопку «Продолжить»;;3. Появляется надпись «ИНН указан неверно!»;;;
22;Регистрация уже авторизованного пользователя;Система должна правильно реагировать на ввод email уже авторизованного пользователя при регистрации;;Высокий;Быть зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести в поле email авторизованного пользователя;;3. Появляется надпись «Адрес уже зарегистрирован!»;;;
23;Авторизация зарегистрированного пользователя по телефону;Есть возможность зарегистрированному пользователю авторизоваться с помощью телефона;;Высокий;Быть зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается поле авторизации с кликабельными кнопками«Забыли пароль?» ,«Войти», «Регистрация»;;;
;;;;;;3. Ввести зарегистрированный телефон  в поле ввода телефона и нажать на кнопку «Войти»;;3. Происходит авторизация пользователя;;3. Не существует функционала авторизации с помощью телефона;Баг-репорт 7
24;Авторизация зарегистрированного пользователя по email;Есть возможность зарегистрированному пользователю авторизоваться с помощью email;;Высокий;Быть зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается поле авторизации с кликабельными кнопками«Забыли пароль?» ,«Войти», «Регистрация»;;;
;;;;;;3. Ввести зарегистрированный email в поле ввода email;;3. Поле заполняется данными;;;
;;;;;;4. Ввести пароль в поле ввода пароля;;4. Поле заполняется данными;;;
;;;;;;5. Нажать на кнопку «Войти»;;5. Происходит авторизация пользователя;;;
25;Авторизация незарегистрированного пользователя по email;Система должна правильно реагировать на авторизацию незарегистрированного пользователя по email;;Высокий;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается поле авторизации с кликабельными кнопками«Забыли пароль?» ,«Войти», «Регистрация»;;;
;;;;;;3. Ввести незарегистрированный email в поле ввода email;;3. Поле заполняется данными;;;
;;;;;;4. Ввести пароль в поле ввода пароля;;4. Поле заполняется данными;;;
;;;;;;5. Нажать на кнопку «Войти»;;5. Появляется уведомление «Ошибка! Неправильный email и/или пароль»;;;
26;Восстановление пароля по email авторизованного пользователя;При восстановлении пароля по email авторизованного пользователя, приходит ссылка на email для сброса пароля;;Высокий;Быть зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Поле заполняется данными;;;
;;;;;;3. Нажать на кнопку «Забыли пароль»;;3. Открывается страница для восстановления пароля по email;;;
;;;;;;4. Ввести email авторизованного пользователя;;4. Появляется уведомление «Новый пароль был выслан на Ваш E-Mail.»;;;
;;;;;;5. Открыть письмо, которое пришло на почту;;5. В письме приходит ссылка для сброса пароля;;5. Новый пароль уходит в спам;Баг-репорт 8
;;;;;;6. Нажать на ссылку сброса пароля;;6. Открывается страница восстановления пароля;;;
;;;;;;7. Ввести новый пароль;;7. Поле заполняется данными;;;
;;;;;;8. Подтвердить пароль;;8. Поле заполняется данными;;;
;;;;;;9. Нажать на кнопку «Продолжить»;;9. Пользователь попадает в поле для авторизации;;;
27;Восстановление  пароля по email незарегистрированным пользователем;Система должна правильно реагировать на восстановление  пароля по email незарегистрированным пользователем;;Высокий;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Поле заполняется данными;;;
;;;;;;3. Нажать на кнопку «Забыли пароль»;;3. Открывается страница для восстановления пароля по email;;;
;;;;;;4. Ввести email неавторизованного пользователя;;5. Появляется уведомление «E-Mail адрес не найден, проверьте и попробуйте еще раз!»;;;
28;Добавление товара/товаров в корзину незарегистрированным пользователем;Незарегистрированный пользователь может добавлять товар/товары в корзину;;Высокий;Быть не зарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Купить» рядом с конкретным товаром;;4. Появляется уведомление о том, что выбранный товар добавлен в корзину;;;
;;;;;;5. Нажать на кнопку «Корзина»;;5. Выбранный товар добавлен в корзину;;;
29;Добавление товара/товаров в корзину авторизованным пользователем;Авторизованный пользователь может добавлять товар/товары в корзину;;Высокий;Быть зарегистрированным и авторизованным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Купить» рядом с конкретным товаром;;4. Появляется уведомление о том, что выбранный товар добавлен в корзину;;;
;;;;;;5. Нажать на кнопку «Корзина»;;5. Выбранный товар добавлен в корзину;;;
30;Удаление товаров из корзины;Пользователь может удалять товар/товары из корзину;;Высокий;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Купить» рядом с конкретным товаром;;4. Появляется уведомление о том, что выбранный товар добавлен в корзину;;;
;;;;;;5. Нажать на кнопку «Корзина»;;5. Выбранный товар добавлен в корзину;;;
;;;;;;6. Нажать на значок удаления товара из корзины рядом с товаром;;6. Выбранный товар удаляется из корзины;;;
31;Оформление заказа авторизованным покупателем;Авторизованный пользователь может оформить заказ;;Высокий;Быть зарегистрированным и авторизованным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Купить» рядом с конкретным товаром;;4. Появляется уведомление о том, что выбранный товар добавлен в корзину;;;
;;;;;;5. Нажать на кнопку «Корзина»;;5. Выбранный товар добавлен в корзину;;;
;;;;;;6. Нажать на кнопку «Оформить заказ»;;6. Открывается страница для оформления заказа;;;
32;Оформление заказа незарегистрированным покупателем;Незарегистрированный пользователь может оформить заказ;;Высокий;Быть незарегистрированным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Купить» рядом с конкретным товаром;;4. Появляется уведомление о том, что выбранный товар добавлен в корзину;;;
;;;;;;5. Нажать на кнопку «Корзина»;;5. Выбранный товар добавлен в корзину;;;
;;;;;;6. Нажать на кнопку «Оформить заказ»;;6. Открывается страница для оформления заказа;;;
33;Добавление товара в раздел «Избранное»;Пользователь может добавлять товар в избранное;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Сердечко» на карточке конкретного товара;;4. Появляется уведомление о том, что выбранный товар добавлен в избранное;;;
;;;;;;5. Нажать на кнопку «Избранное»;;5. Выбранный товар добавлен в избранное;;;
34;Удаление товара из раздела «Избранное»;Пользователь может удалять товар из избранного;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Сердечко» на карточке конкретного товара;;4. Появляется уведомление о том, что выбранный товар добавлен в избранное;;;
;;;;;;5. Нажать на кнопку «Избранное»;;5. Выбранный товар добавлен в избранное;;;
;;;;;;6. Еще раз нажать на кнопку «Сердечко» на карточке конкретного товара;;4. Появляется уведомление о том, что выбранный товар удален из избранного и товар удаляется;;;
35;Просмотр разделов сайта верхней части сайта (header);Разделы сайта открываются и содержат соответствующую разделам информацию;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Открыть раздел «О компании»;;2. Открывается страница https://stroyseven.ru/o_kompanii с соответствующей разделу информацией;;;
;;;;;;3. Открыть раздел «Калькулятор доставки»;;3. Открывается страница https://stroyseven.ru/dostavka с соответствующей разделу информацией;;;
;;;;;;4. Открыть раздел «Контакты»;;4. Открывается страница https://stroyseven.ru/kontaktyс соответствующей разделу информацией;;;
;;;;;;5. Открыть раздел «Оплата»;;5. Открывается страница https://stroyseven.ru/oplata с соответствующей разделу информацией;;;
;;;;;;6. Открыть раздел «Оптовикам и Юр.Лицам»;;5. Открывается страница с соответствующей разделу информацией;;6. Открывается страница https://stroyseven.ru/my-account/ с информацией из раздела личного кабинета «Моя информация»;Баг-репорт 9
36;Работа  кнопки «Каталог»;Каталог фильтра товаров открывается и закрывается нажатием на кнопку «Каталог»;;Высокий;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Снова нажать на кнопку «Каталог»;;3. Список с категориями товаров закрывается;;;
37;Работа фильтров;Фильтры товаров открываются, в них есть подфильтры. При открытии фильтров открывается страница с соответствующими категории  товарами;;Высокий;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Навести курсором на конкретный фильтр товаров;;3. Открывается подфильтр товаров;;;
;;;;;;4. Нажать на фильтр/подфильтр товара;;4. Открывается страница товаров соответствующая выбранной категории;;;
38;Работа разделов в Личном кабинете;Разделы Личного кабинета открываются и содержат соответствующую разделам информацию;;Высокий;Быть зарегистрированным и авторизованным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается выпадающий список с разделами «Личный кабинет», «История заказов», «Выход»;;;
;;;;;;3. Нажать на кнопку «Личный кабинет»;;3. Открывается страница с разделами Личного кабинета;;;
;;;;;;4. Нажать на кнопку «Моя информация»;;4. Открывается страница https://stroyseven.ru/my-account/ с сответвующей разделу информацией;;4. Открывается страница с информацией, которая соответсвует разделу «История заказов»;Баг-репорт 10
;;;;;;5. Нажать на кнопку «Изменить контактную информацию»;;5. Открывается страница https://stroyseven.ru/index.php?route=account/simpleedit с соответствующей разделу информацией;;;
;;;;;;6. Нажать на кнопку «Пароль»;;6. Открывается страница https://stroyseven.ru/change-password/ с соответствующей разделу информацией;;;
;;;;;;7. Нажать на кнопку «Адресная книга»;;7. Открывается страница https://stroyseven.ru/address-book/ с соответствующей разделу информацией;;;
;;;;;;8. Нажать на кнопку «Закладки»;;8. Открывается страница https://stroyseven.ru/wishlist/ с соответствующей разделу информацией;;;
;;;;;;9. Нажать на кнопку «История заказов»;;9. Открывается страница https://stroyseven.ru/order-history/ с соответствующей разделу информацией;;;
;;;;;;10. Нажать на кнопку «Файлы для скачивания»;;10. Открывается страница https://stroyseven.ru/downloads/ с соответствующей разделу информацией;;;
;;;;;;11. Нажать на кнопку «Регулярные платежи»;;11. Открывается страница https://stroyseven.ru/recurring/ с соответствующей разделу информацией;;;
;;;;;;12. Нажать на кнопку «Бонусные баллы»;;12. Открывается страница https://stroyseven.ru/reward-points/ с соответствующей разделу информацией;;;
;;;;;;13. Нажать на кнопку «Возвраты»;;13. Открывается страница https://stroyseven.ru/returns/ с соответствующей разделу информацией;;;
;;;;;;14. Нажать на кнопку «История транзакций»;;14. Открывается страница https://stroyseven.ru/transactions/ с соответствующей разделу информацией;;;
;;;;;;15. Нажать на кнопку «Выход»;;15. Открывается страница https://stroyseven.ru/logout/ с соответствующей разделу информацией;;;
39;Добавление товара/товаров в раздел «Сравнение» ;Пользователь может добавлять товар/товары в раздел  «Сравнение». Визуально должно быть удобно сравнивать товары;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Весы» на карточке конкретного товара;;4. Появляется уведомление о том, что выбранный товар добавлен в список сравнения;;;
